DiscoFoliar,ID_Ensaio,Tecnico,Inicio,Cultura,Especie,Comentarios,Celula
118,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H6
119,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H7
120,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H8
121,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H9
122,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H10
123,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H11
124,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H12
125,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H13
126,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H14
127,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H15
128,1234,cvcv,01/11/2021 10:52,Cultura,Espécie,,H16
